"Sample rate: 100 to 15000"
"Resolution: 8 to 18"
"Number of input channels: 1 to 2"
"Analog input BW: 2001 to 8000"
"=HYPERLINK(""http://www.ti.com/data-converters/adc-circuit/high-speed/products.html#p157max=100;15000&p84=8;18&p1028=1;2&p300=2001;8000"", ""View Selection Tool on TI.com"")"

"NOTE: The table below does not have formatting applied."
"Select the entire sheet (ctrl+A) and apply"
"""Auto-fit column width"" to make all information visible"
"(Format -> Column -> Autofit column width)"

"Part number","Description","Ordering & quality","Sample rate
(Max)
(MSPS)","Resolution
(Bits)","Number of input channels","Interface","Analog input BW
(MHz)","Features","Rating","Input range
(Vp-p)","Approx. price
(US$)","Power consumption
(Typ)
(mW)","Architecture","SNR
(dB)","ENOB
(Bits)","SFDR
(dB)","Operating temperature range
(C)"
"ADC12DJ3200QML-SP","12-bit, dual 3.2-GSPS or single 6.4-GSPS, RF-sampling analog-to-digital converter (ADC) - aerospace","=HYPERLINK(""https://www.ti.com/product/ADC12DJ3200QML-SP/samplebuy"",""Ordering & quality"")","3200,
6400","12","2,
1","JESD204B","7300","Ultra High Speed","Space","0.8"," --- ","3000","Folding Interpolating","57.2","8.9","76","-55 to 125,
25 to 25"
"ADC12DJ5200RF","RF-sampling 12-bit ADC with dual-channel 5.2 GSPS or single-channel 10.4 GSPS","=HYPERLINK(""https://www.ti.com/product/ADC12DJ5200RF/samplebuy"",""Ordering & quality"")","5200,
10400","12","2,
1","JESD204B,
JESD204C","8000","Ultra High Speed","Catalog","0.8","2451.68 | 100u","4010","Folding Interpolating","56.7","9","78","-40 to 85"
"AFE7422","Dual-channel RF-sampling AFE with 14-bit 9-GSPS DAC and 3-GSPS ADC with bypass mode","=HYPERLINK(""https://www.ti.com/product/AFE7422/samplebuy"",""Ordering & quality"")","3000","14","2","JESD204B","6000","High Performance","Catalog"," --- ","1099.91 | 100u","8200","Pipeline","60"," --- ","70","-40 to 85"
"ADC12DL3200","12-bit, dual 3.2-GSPS or single 6.4-GSPS, RF-sampling analog-to-digital converter (LVDS interface)","=HYPERLINK(""https://www.ti.com/product/ADC12DL3200/samplebuy"",""Ordering & quality"")","3200,
6400","12","2,
1","DDR LVDS,
Parallel LVDS","8000","Ultra High Speed","Catalog","0.8","2287.96 | 100u","3150","Folding Interpolating","57.9","9","78","-40 to 85"
"ADC08DJ3200","8-Bit, Dual 3.2-GSPS or Single 6.4-GSPS, RF-Sampling Analog-to-Digital Converter (ADC)","=HYPERLINK(""https://www.ti.com/product/ADC08DJ3200/samplebuy"",""Ordering & quality"")","3200,
6400","8","2,
1","JESD204B","8000","Ultra High Speed","Catalog","0.8","788.92 | 100u","2800","Folding Interpolating","49.4","7.8","69","-40 to 85"
"ADC12DJ2700","12-bit, dual 2.7-GSPS or single 5.4-GSPS, RF-sampling analog-to-digital converter (ADC)","=HYPERLINK(""https://www.ti.com/product/ADC12DJ2700/samplebuy"",""Ordering & quality"")","2700,
5400","12","2,
1","JESD204B","8000","Ultra High Speed","Catalog","0.8","1425.16 | 100u","2700","Folding Interpolating","57.7","9","75","-40 to 85"
"ADC31RF80","14-Bit, 3-GSPS, RF-Sampling Wideband Receiver and Feedback IC","=HYPERLINK(""https://www.ti.com/product/ADC31RF80/samplebuy"",""Ordering & quality"")","3000","14","1","JESD204B","3200","Decimating Filter,
Ultra High Speed","Catalog","1.35","553.96 | 100u","3200","Pipeline","61.4","9.8","71","-40 to 85"
"ADC12DJ3200","12-bit, dual 3.2-GSPS or single 6.4-GSPS, RF-sampling analog-to-digital converter (ADC)","=HYPERLINK(""https://www.ti.com/product/ADC12DJ3200/samplebuy"",""Ordering & quality"")","3200,
6400","12","2,
1","JESD204B","8000","Ultra High Speed","Catalog","0.8","1689.16 | 100u","3000","Folding Interpolating","57.6","9","75","-40 to 85"
"ADC32RF42","Dual-Channel, 14-Bit, 1.5-GSPS RF-Sampling Analog-to-Digital Converter (ADC)","=HYPERLINK(""https://www.ti.com/product/ADC32RF42/samplebuy"",""Ordering & quality"")","1500","14","2","JESD204B","3200","Ultra High Speed","Catalog","1.35","831.16 | 100u","4000","Pipeline","63","9.9","70","-40 to 85"
"ADC32RF44","Dual-Channel, 14-Bit, 2.6-GSPS RF-Sampling Analog-to-Digital Converter (ADC)","=HYPERLINK(""https://www.ti.com/product/ADC32RF44/samplebuy"",""Ordering & quality"")","2600","14","2","JESD204B","3200","Ultra High Speed","Catalog","1.35","1318.24 | 100u","5820","Pipeline","63.1","10","79","-40 to 85"
